FIPS,income
06037402200,85963
06037403312,77813
06037238000,61773
06037238320,34131
06037238400,54746
06037242600,16586
06037243100,27879
06037264302,92381
06037265305,20655
06037265420,198542
06037267100,105284
06037267800,86121
06037269000,127054
06037269300,165208
06037269500,191538
06037261101,199094
06037124000,86881
06037124300,42826
06037124500,90565
06037125100,76595
06037127220,39645
06037554518,102961
06037552400,65391
06037552602,57454
06037552700,71717
06037554700,78152
06037570303,62500
06037570603,49623
06037570702,105000
06037576200,35870
06037577100,79235
06037577200,87708
06037600501,66908
06037600502,66542
06037600702,98571
06037901210,63211
06037901213,116742
06037910001,46576
06037910002,46875
06037910101,44091
06037141400,101327
06037141500,219698
06037123304,39631
06037296600,40607
06037297500,88229
06037300400,97083
06037265510,54847
06037186403,59861
06037186404,62083
06037187101,76522
06037187102,56683
06037188201,81475
06037188202,113267
06037189101,81591
06037189102,85708
06037189201,41950
06037189202,118018
06037189903,64975
06037189904,49960
06037189905,72837
06037190201,30053
06037190202,32418
06037190401,48188
06037190402,40000
06037190801,25858
06037533804,39688
06037533901,47823
06037534001,45933
06037534403,44318
06037534406,45500
06037534502,48900
06037535101,39669
06037535503,40739
06037535604,51172
06037271300,101006
06037271600,89792
06037463000,116181
06037293302,83955
06037460502,163438
06037195710,45398
06037139502,79500
06037143300,85230
06037211910,46941
06037213201,32819
06037204120,52813
06037204410,47232
06037204910,38523
06037205120,26844
06037206050,23380
06037216200,88854
06037216900,89547
06037218800,46140
06037480802,68145
06037501504,35601
06037501600,95587
06037530203,46385
06037530400,41686
06037531201,50455
06037531202,48344
06037531800,48859
06037532304,44113
06037532606,36167
06037532800,40306
06037532900,38682
06037603102,58958
06037551700,74231
06037552100,61314
06037552601,72982
06037552900,62757
06037206200,23515
06037121802,68083
06037122121,53125
06037122122,41811
06037123901,66771
06037123902,70592
06037124103,43787
06037124104,43816
06037124105,45764
06037124203,52561
06037124204,43385
06037124902,31852
06037124903,61429
06037125401,62934
06037125402,80299
06037125501,46767
06037125502,68700
06037127103,52096
06037127104,39067
06037127603,42292
06037127604,44798
06037127605,46071
06037127711,64018
06037127606,60904
06037127712,42662
06037127803,43071
06037127804,53792
06037127805,49457
06037127806,42946
06037128101,56023
06037980015,66000
06037980019,231250
06037139504,56212
06037141101,73333
06037141102,98125
06037141201,84205
06037141202,81250
06037141303,82448
06037531502,45404
06037103102,75276
06037531101,44699
06037277400,43264
06037291300,81281
06037294120,57159
06037294520,50732
06037294820,39400
06037296220,30020
06037297300,102143
06037300600,69107
06037300901,149707
06037301100,74303
06037302202,45156
06037302302,52763
06037311300,97931
06037400604,100556
06037401203,84063
06037401500,78000
06037900703,40938
06037910201,57593
06037213202,38899
06037214100,100824
06037217100,67414
06037218300,53621
06037218400,64018
06037219700,50220
06037800324,143750
06037800326,133942
06037701801,65888
06037702600,120671
06037703200,91042
06037800325,133688
06037900102,33750
06037900501,55166
06037901205,76971
06037910602,41538
06037920314,100956
06037920036,77652
06037920313,106974
06037920334,87273
06037103101,99875
06037104201,60129
06037104320,56021
06037104620,64648
06037104701,35357
06037104810,74149
06037106112,95625
06037106113,96667
06037267501,86086
06037920031,65673
06037267600,70692
06037402301,55565
06037402403,74592
06037134302,103750
06037134303,78864
06037134421,140313
06037134520,46011
06037135111,101554
06037553100,69091
06037553701,51629
06037553901,76116
06037554516,120993
06037555104,62117
06037570002,93819
06037570204,48947
06037572002,73319
06037572201,59091
06037573402,66508
06037574100,107917
06037574400,122262
06037143602,106442
06037139303,54470
06037139600,77000
06037139701,152833
06037183101,54548
06037185310,64671
06037186401,41450
06037189701,100256
06037190700,43877
06037190902,46406
06037191110,37700
06037191500,49726
06037192410,73750
06037192420,56194
06037190901,38140
06037191203,26919
06037191610,48767
06037191810,49491
06037190802,50167
06037191301,36875
06037191302,45982
06037191901,57000
06037191902,94432
06037192001,74063
06037192002,111111
06037194101,86417
06037194102,122829
06037194401,86800
06037194402,100368
06037195201,85114
06037195202,117630
06037195803,83167
